CONTAINER ID        IMAGE                  COMMAND                  CREATED             STATUS              PORTS               NAMES
f29ccca0d7b4        8fafd8af70e9           "/bin/sh -c 'node ..."   8 minutes ago       Up 8 minutes                            k8s_kubernetes-bootcamp_kubernetes-bootcamp-6bf84cb898-gmp5g_default_3fe28cb7-810f-11e9-8f7b-0242ac11000d_0
a1dc1e38420a        k8s.gcr.io/pause:3.1   "/pause"                 8 minutes ago       Up 8 minutes                            k8s_POD_kubernetes-bootcamp-6bf84cb898-gmp5g_default_3fe28cb7-810f-11e9-8f7b-0242ac11000d_0
97211a99c2aa        4689081edb10           "/storage-provisioner"   9 minutes ago       Up 9 minutes                            k8s_storage-provisioner_storage-provisioner_kube-system_394d56d7-810f-11e9-8f7b-0242ac11000d_0
11aca2c4a9da        k8s.gcr.io/pause:3.1   "/pause"                 9 minutes ago       Up 9 minutes                            k8s_POD_storage-provisioner_kube-system_394d56d7-810f-11e9-8f7b-0242ac11000d_0
ca34fd1fff25        f59dcacceff4           "/coredns -conf /e..."   9 minutes ago       Up 9 minutes                            k8s_coredns_coredns-86c58d9df4-mzhq7_kube-system_36f7e211-810f-11e9-8f7b-0242ac11000d_0
8200031bbb3d        f59dcacceff4           "/coredns -conf /e..."   9 minutes ago       Up 9 minutes                            k8s_coredns_coredns-86c58d9df4-q2nsq_kube-system_36f1f984-810f-11e9-8f7b-0242ac11000d_0
8c5741df4f5a        98db19758ad4           "/usr/local/bin/ku..."   9 minutes ago       Up 9 minutes                            k8s_kube-proxy_kube-proxy-l5n2t_kube-system_36ec745a-810f-11e9-8f7b-0242ac11000d_0
cf6a84d620b1        k8s.gcr.io/pause:3.1   "/pause"                 9 minutes ago       Up 9 minutes                            k8s_POD_coredns-86c58d9df4-mzhq7_kube-system_36f7e211-810f-11e9-8f7b-0242ac11000d_0
149d3cdf4e91        k8s.gcr.io/pause:3.1   "/pause"                 9 minutes ago       Up 9 minutes                            k8s_POD_coredns-86c58d9df4-q2nsq_kube-system_36f1f984-810f-11e9-8f7b-0242ac11000d_0
6d608a975635        k8s.gcr.io/pause:3.1   "/pause"                 9 minutes ago       Up 9 minutes                            k8s_POD_kube-proxy-l5n2t_kube-system_36ec745a-810f-11e9-8f7b-0242ac11000d_0
ca27d4135d71        9c16409588eb           "/opt/kube-addons.sh"    9 minutes ago       Up 9 minutes                            k8s_kube-addon-manager_kube-addon-manager-minikube_kube-system_5c72fb06dcdda608211b70d63c0ca488_0
4c6b225546c8        fe242e556a99           "kube-apiserver --..."   9 minutes ago       Up 9 minutes                            k8s_kube-apiserver_kube-apiserver-minikube_kube-system_ef768ab6a64292c02912b5afc93033d2_0
3e75015ece32        3a6f709e97a0           "kube-scheduler --..."   9 minutes ago       Up 9 minutes                            k8s_kube-scheduler_kube-scheduler-minikube_kube-system_b734fcc86501dde5579ce80285c0bf0c_0
0cd07ec5b68b        3cab8e1b9802           "etcd --advertise-..."   9 minutes ago       Up 9 minutes                            k8s_etcd_etcd-minikube_kube-system_411ed830467b152e039508c3eeb2d784_0
c809f265aa75        0482f6400933           "kube-controller-m..."   9 minutes ago       Up 9 minutes                            k8s_kube-controller-manager_kube-controller-manager-minikube_kube-system_b45e9b447903016d655317db22047917_0
3e812c3daadd        k8s.gcr.io/pause:3.1   "/pause"                 9 minutes ago       Up 9 minutes                            k8s_POD_kube-apiserver-minikube_kube-system_ef768ab6a64292c02912b5afc93033d2_0
9ca180f7f2a7        k8s.gcr.io/pause:3.1   "/pause"                 9 minutes ago       Up 9 minutes                            k8s_POD_etcd-minikube_kube-system_411ed830467b152e039508c3eeb2d784_0
d5836b280484        k8s.gcr.io/pause:3.1   "/pause"                 9 minutes ago       Up 9 minutes                            k8s_POD_kube-addon-manager-minikube_kube-system_5c72fb06dcdda608211b70d63c0ca488_0
00a02b0e28c9        k8s.gcr.io/pause:3.1   "/pause"                 9 minutes ago       Up 9 minutes                            k8s_POD_kube-scheduler-minikube_kube-system_b734fcc86501dde5579ce80285c0bf0c_0
1add6fb0c112        k8s.gcr.io/pause:3.1   "/pause"                 9 minutes ago       Up 9 minutes                            k8s_POD_kube-controller-manager-minikube_kube-system_b45e9b447903016d655317db22047917_0
